year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,bm,ccnl,egdp,hdmsp,hviirs,viirs,viirsl
1992,310000,上海市,1114.32,34.16,677.39,402.77,3.0655,60.7895,36.1449,8650,,,,357.38,,,1345,,,,235,3625,,,110095.1042,21933864952,184551.1333,,,
1992,120000,天津市,411.24,30.26,233.41,147.37,7.3582,56.0767,36.565,4481,,,,169.88,,,920,,,,3758,4088,,,109262.9739,18497291001,190401.7059,,,
1992,110000,北京市,709.1,48.67,345.91,314.52,6.8636,48.7816,44.3534,6458,,,,82.5,,,1102,,,,872.5,10827,,,142718.4999,25177580651,238528.7686,,,
1992,330000,浙江省,1365.06,262.67,653.43,459.6,19.0936,47.498,33.4084,3212,,,,361.18,,,4236,,,,867,31294,,,168595.3412,40641590147,325445.1294,,,
1992,620000,甘肃省,317.79,74.2,128.66,114.93,23.3488,40.4859,36.1654,1384,,,,85.13,,,2314,,,,1884,34822,,,62162.31709,26847745858,124831.9804,,,
1992,210000,辽宁省,1472.95,194.6,741.9,536.5,13.212,50.37,36.4247,3693,,,,436.8,,,4016,,,,3758,41548,,,358519.6296,42149904366,654653.3882,,,
1992,630000,青海省,87.52,19.9,36.31,31.31,22.7377,41.4877,35.7747,1912,,,,30.27,,,461,,,,1100,16854,,,13847.5846,29767727075,28133.02745,,,
1992,440000,广东省,2293.54,465.83,1100.32,881.39,19.0326,44.9562,36.0113,3699,,,,921.75,,,6525,,,,1426,55883,,,472071.3469,1.01E+11,851207.4039,,,
1992,320000,江苏省,2136.02,393.82,1119.26,622.94,18.4371,52.3993,29.1636,3106,,,,711.7,,,6911,,,,744,25325,,,383006.7583,76718619674,705787.9882,,,
1992,370000,山东省,2196.53,534.62,999.11,662.8,24.3393,45.4858,30.1749,2556,,,,601.5,,,8610,,,,2048,43134,,,523811.8762,70641650684,965308.6863,,,
1992,430000,湖南省,997.7,323.91,341.73,321.34,32.8183,34.6238,32.5579,1595,,,,233.39,,,6267,,,,2302,58110,,,74331.00038,21139404904,154783.4,,,
1992,540000,西藏自治区,33.29,16.59,4.46,12.24,49.8348,13.3974,36.7678,1468,,,,13.33,,,228,,,,,21944,,,2773.626753,45900174056,5343.27451,,,
1992,450000,广西壮族自治区,646.6,233.03,187.48,226.09,36.0393,28.9947,34.966,1490,,,,141.04,,,4380,,,,2294,37291,,,81490.87484,21986837978,165429.702,,,
1992,500000,重庆市,461.32,117.28,164.58,138.32,25.4227,42.1399,32.4374,1427,,,,,,,,,,,,,,,30852.13539,9907342671,62250.71765,,,
1992,610000,陕西省,540.52,116.71,232.07,182.85,21.9532,43.6525,34.3942,1571,,,,142.47,,,3405,,,,2121,38318,,,137025.2786,30136618820,261765.2,,,
1992,340000,安徽省,801.16,230.5,333,237.7,28.7693,41.5627,29.668,1390,,,,214.84,,,5834,,,,1672,30571,,,122725.0892,26520300148,239988.498,,,
1992,510000,四川省,1624.51,372.04,441.57,363.66,31.6019,37.508,30.8901,1477,,,,304.78,,,10998,,,,,,,,80770.83552,35399421396,168657,,,
1992,420000,湖北省,1088.39,303,444.61,340.78,27.8393,40.8502,31.3105,1962,,,,240.73,,,5580,,,,1705,47892,,,129864.4276,26613054269,250855.1765,,,
1992,220000,吉林省,558.06,130.82,257.01,170.23,23.4419,46.0542,30.5039,2246,,,,151.08,,,2532,,,,3473,27192,,,183315.7554,25873187447,364838.3098,,,
1992,360000,江西省,572.55,200.81,199.4,172.34,35.0729,34.8267,30.1004,1472,,,,125.36,,,3913,,,,1644,33986,,,60364.34625,16309720253,124552.502,,,
1992,520000,贵州省,339.91,121.18,122.08,96.65,35.6506,35.9154,28.434,1034,,,,78.82,,,3361,,,,1408,31889,,,39953.42795,13690846665,83174.45098,,,
1992,650000,新疆维吾尔自治区,402.31,114.5,147.64,140.17,28.4606,36.6981,34.8413,2477,,,,170.03,,,1581,,,,1578,26024,,,110502.4608,86927645747,223099.2627,,,
1992,230000,黑龙江省,864.04,167,493.1,299.6,17.4013,51.3806,31.2181,2672,,,,,,,3608,,,,5307,47882,,,282801.5833,49806383384,565019.1176,,,
1992,350000,福建省,787.71,194.87,291.6,298.21,24.8343,37.1616,38.004,2557,,,,227.55,,,3116,,,,1015,41882,,,103233.9305,26160598007,198735.3804,,,
1992,410000,河南省,1279.75,353.92,545.21,380.62,27.6554,42.6029,29.7417,1452,,,,318.83,,,8862,,,,3486,45049,,,288939.7614,43939752978,539688.8392,,,
1992,530000,云南省,618.69,186.8,219.03,212.86,30.1928,35.4022,34.405,1622,,,,140.69,,,3832,,,,1651,60045,,,70949.01567,30464900951,142965.3882,,,
1992,150000,内蒙古自治区,421.68,126.86,152.56,142.26,30.0844,36.1791,33.7365,1906,,,,149.24,,,2207,,,,5770,43704,,,114718.8321,67115544208,230209.8784,,,
1992,460000,海南省,181.71,53.59,38.27,93.06,28.9801,20.6954,50.3245,2719,,,,87.05,,,686,,,,214,12937,,,22442.14033,5268873658,45317.49412,,,
1992,640000,宁夏回族自治区,83.14,18.31,34.05,30.78,22.0231,40.955,37.0219,1718,,,,38.09,,,487,,,,421,8200,,,30211.3588,7636043315,60720.37647,,,
1992,140000,山西省,570,82.94,270.28,197.9,15.0494,49.042,35.9087,1862,,,,172.79,,,2979,,,,2331,31554,,,305442.8992,42621770818,570849.6235,,,
1992,130000,河北省,1278.5,257.08,573.15,448.27,20.1079,44.8299,35.0622,2040,,,,335.79,,,6275,,,,3609,48334,,,401379.9473,53783761445,751402.7843,,,
